aquila	akuila
pigmeo	piɡ.ˈmɛ.o
seta	ˈseː.t̪a
scherzo	ˈskertso
buono	ˈbwɔː.no
sorte	ˈsɔrte
nota	ˈnɔː.t̪a
giuseppe	dʒuˈzɛppe
amica	a.ˈmi.ka
biglietto	biʎˈʎɛtto
fuochi	ˈfwoki
guido	ˈɡwi.do
donne	ˈdɔn.ne
parola	paˈɾɔla
provincia	pro.ˈvin.t͡ʃa
spiaggia	ˈspjaddʒa
frase	fra.ze
grillo	ˈɡril.lo
mausoleo	mau.zo.ˈlɛ.o
glicerina	ɡli.tʃe.ˈri.na
glicine	ˈɡlitʃine
intestino	intesˈtino
gliela	ˈʎela
gliele	ˈʎele
glieli	ˈʎeli
glielo	ˈʎelo
gliene	ˈʎene
foro	ˈfoːro
idem	ˈidem
chiaro	'kja.ro
confermare	koŋ.fer.ˈma.re
stele	ˈstɛ.le
linguistica	linˈɡwistika
dipsomania	dip.so.maˈni.a
fermare	fɛr.ˈma.re
difficile	difˈfitʃile
biella	ˈbjɛlla
vecchio	ˈvɛkkjo
lotto	ˈlɔtto
esperanto	e.speˈran.to
articolo	ar.ˈti.ko.lo
tiramisù	ˌtiramiˈsu
medusa	meˈduza
cellula	ˈt͡ʃɛllula
definizione	definiˈtsjone
conosco	koˈnosko
sete	ˈseː.t̪e
ginevra	dʒiˈneːvra
giardino	dʒ͡arˈd̪iː.no
mancia	ˈmantʃa
oche	ˈɔke
stucco	ˈstukko
precipitevolissimevolmente	pre.tʃi.pi.te.voˌlis.si.me.volˈmen.te
natale	na.ˈta.le
tarantella	taranˈtɛlːa
ragno	ˈraɲɲo
corvo	ˈkɔrvo
quadrireme	kwa.dri.ˈrɛ.me
selva	ˈselva
saltimbanco	saltimˈbanko
mamma mia	ˈmamma ˈmia
tipo	ˈti.po
lasagne	laˈzaɲːe
pistola	piˈst̪ɔː.la
piscina	piʃˈʃina
foci	ˈfoː.tʃi
diamine	ˈdjamine
amaro	a.ˈma.ro
biga	ˈbiɡa
pomeriggio	pomeˈriddʒo
nebbia	ˈnebbja
sere	ˈseː.re
gelare	dʒeˈlare
fai	ˈfai
erba	ˈɛrba
paglia	ˈpaʎʎa
cera	ˈtʃera
cui	ˈkuj
nudo	ˈnudo
camminare	kammiˈnare
schiuma	ˈskjuma
torre	ˈtorre
sapienza	sa.ˈpjɛn.tsa
rotacismo	rotaˈtʃizmo
abbiccì	ab.bitˈtʃi
alessandra	alesˈsandra
alessandro	alesˈsandro
breccia	ˈbrɛttʃa
lise	li.se
frittata	fritˈtaː.ta
bine	ˈbine
elione	e.ˈljo.ne
cavallo	kaˈvalːo
berillo	be.ˈrilː.o
beatrice	ˌbeaˈtritʃɛ
fluoruro	flwoˈruro
solfidrico	sol.fi.dri.ko
giugno	ˈdʒuɲ.ɲo
fango	ˈfaŋɡo
tomba	ˈtomba
giovanni	dʒoˈvanni
baie	baje
pizzaiolo	pit.tsa.ˈjɔ.lo
osteria	osteˈria
bagna càuda	baɲaˈkɑʊda
pancia	ˈpantʃa
fagiolo	fa.ˈdʒɔ.lo
madonna	maˈdɔ.nːa
molo	ˈmɔ.lo
capri	ˈkapri
polvere	ˈpolvere
scatola	ˈskatola
abbaiamento	ab·ba·jaˈmeːn·to
abbattimento	ab.bat.tɨˈmɛːn.to
capelli	kaˈpelli
lumache	luˈmake
lumaca	luˈmaka
manicotti	ma.niˈkɔt̪.t̪i
senape	ˈsɛnape
stivale	st̪iˈvale
coniglio	koˈniʎʎo
coniglia	koˈniʎʎa
coniglietto	koniʎˈʎetto
lepre	ˈlɛpre
rognone	roɲˈɲone
rene	ˈrɛ.ne
broccolo	ˈbrɔk.̚ko.lo
cavolo	ˈka.vo.lo
cetriolo	tʃe.tri.ˈɔ.lo
azzurri	adˈdzurri
ciliegie	tʃ͡iˈljɛː.dʒ͡e
prugna	ˈpruɲɲa
catenaccio	ka.teˈnat.̚tʃo
corretto	korˈrɛtto
cinzano	tʃintsano
all'amatriciana	allamatriˈt͡ʃana
ragù	ra.ˈɡu
narrativo	nar.raˈt̪iː.vo
assieme	as.ˈsjɛ.me
avvento	avˈvɛnto
avvio	av.ˈvi.o
allegria	al.le.ˈɡri.a
troppo	ˈtrɔppo
bastone	basˈtone
blu	blu
botta	ˈbɔtta
botte	ˈbot.te
bozza	ˈbɔttsa
brezza	ˈbreddza
buccia	ˈbuttʃa
bugia	bu.ˈdʒi.a
buzzo	ˈbuddzo
tassì	tasˈsi
caccia	ˈkat.tʃa
calore	ka.ˈlo.re
cammeo	kam.ˈmɛ.o
capace	kaˈpaː.tʃe
casinò	ka.ziˈno
cassa	ˈkas.sa
ceneri	ˈtʃeneri
ceppo	ˈtʃep.po
minchia	ˈminkja
sottile	sotˈtile
ciabatta	tʃaˈbatta
cilindro	t͡ʃi.lin.ˈdrɔ
cinetico	t͡ʃiˈnɛtiko
ciocca	ˈtʃɔkka
cippo	ˈt͡ʃippo
venere	ˈvɛ.ne.re
giove	ˈdʒɔve
nettuno	netˈtuno
plutone	pluˈtone
pesi	ˈpesi
fodero	ˈfo.de.ro
clinica	ˈklinika
cognato	koˈɲɲaː.t̪o
passero	ˈpassero
pinguino	pin.ˈɡwi.no
colpire	kolˈpire
colui	koˈlui
concetto	konˈt͡ʃɛtto
contare	konˈtare
bottiglia	boˈtɪʎʲa
adultere	a.dul.ˈtɛ.re
arbitro	ˈarbitro
elaborare	elaboˈrare
emulo	ˈɛ.mu.lo
emulare	e.muˈla.re
filosofo	fiˈlɔː.zo.fo
filosofa	fiˈlɔː.zo.fa
filosofe	fiˈlɔː.zo.fe
settembre	setˈtɛm.bre
ottobre	otˈtoː.bre
dicembre	diˈtʃɛm.bre
fato	ˈfaː.to
coscia	ˈkɔʃʃa
biologia	bioloˈdʒi.a
torneo	tor.ˈnɛ.o
costui	koˈstui
vomitare	vomiˈtare
assiolo	as.ˈsjɔ.lo
minuendo	minuˈɛndo
crisma	ˈkris.ma
cristo	ˈkriː.st̪o
medici	ˈme.di.tʃi
scarabeo	ska.ra.ˈbɛ.o
passo	ˈpasso
minore	mi.ˈno.re
legare	leˈɡare
scena	ˈʃɛː.na
episteme	e.pi.ˈstɛ.me
crostaceo	kroˈst̪aː.tʃ͡e.o
crusca	ˈkruska
cucina	kuˈtʃina
petto	ˈpɛtto
alcool	al.kɔ.ˈɔl
bugie	bu.ˈdʒi.e
sputare	spuˈtare
fatto	ˈfat.to
facevano	faˈtʃeː.va.no
fecero	ˈfeː.tʃe.ro
farebbero	faˈrebɛro
facciamo	fatˈtʃaː.mo
illudere	ilˈludere
stendere	ˈstɛndere
arancione	a.ranˈtʃo.ne
inquilino	iŋkwiˈlino
coniglietta	koniʎˈʎetta
foglia	ˈfɔʎʎa
ragazzo	raˈɡat.̚tso
ricche	ˈrikke
ricchezza	rikˈkett͡sa
danubio	daˈnubjo
secolo	ˈsɛkolo
giornale	d͡ʒorˈnale
mattino	matˈtino
diurno	di.ˈur.no
gesù	dʒ͡eˈzu
campagna	kamˈpaː.ɲɲa
messia	mesˈsiː.a
malattia	malatˈtia
testicolo	te.ˈsti.ko.lo
fede	ˈfede
museo	mu.ˈzɛ.o
arrivederci	ar.ri.veˈder.tʃi
michelangelo	ˌmi.kel.ˈan.d͡ʒe.lo
odore	o.ˈdo.re
gravitazione	ɡravitaˈtsjone
galassia	ɡaˈlas.sja
unione europea	u.ˈnjo.ne eu.ro.ˈpɛ.a
significato	siɲɲifiˈkato
terremoto	tɛr.rɛ.ˈmɔ.tɔ
polizia	po.liˈtsi.a
carriera	karˈrjɛː.ra
schiena	ˈskjɛna
foglio	ˈfɔʎ.ʎo
asciutto	aʃˈʃutto
asciugare	aʃʃuˈɡare
errore	er.ˈro.re
gianni	ˈdʒanni
follicolo	fol.ˈli.ko.lo
procione	proˈtʃone
infinito	in.fiˈniː.t̪o
ricerca	riˈtʃer.ka
rotondo	roˈtondo
gomma	ˈɡomma
cacciare	katˈtʃare
liscio	ˈliʃʃo
liceo	li.ˈtʃɛ.o
deflagrare	deflaˈɡrare
deflagrate	deflaˈɡrate
sciocco	ˈʃɔk.ko
organizzazione	or.ɡa.nid.dzat.ˈtsjoː.ne
supremo	su.ˈprɛ.mo
combattere	komˈbattere
comunicazione	ko.mu.ni.kaˈtsjoː.ne
pentacolo	pen.ˈta.ko.lo
meglio	ˈmɛ.ʎʎo
svegliare	zveʎˈʎare
capibara	kapiˈbara
invenzione	invɛnˈt͡sjoːne
ormai	orˈmai
diminuire	diminuˈire
remoto	reˈmɔː.t̪o
dritto	dritto
eufemismo	eu.fe.ˈmi.zmo
eufemistico	eu.fe.ˈmi.sti.ko
musiche	ˈmuː.zi.ke
caricare	ka.ri.ˈka.re
girare	dʒiˈrare
giù	d͡ʒu
salante	saˈlante
chiarire	kjaˈriː.re
sporco	ˈspɔrko
magnete	maɲ.ˈɲɛ.te
embrione	em.bri.ˈo.ne
fascismo	faʃˈʃi.zmo
felce	ˈfeltʃe
buone	ˈbwɔː.ne
facili	ˈfaː.tʃi.li
vizio	ˈvitsjo
lardo	ˈlar.dɔ
somma	ˈsomma
pausa	ˈpau.za
europea	eu.ro.ˈpɛ.a
derivazione	derivaˈtsjone
fendere	ˈfɛndere
intelletto	in.tel.ˈlɛt.to
veicolo	ve.ˈi.ko.lo
bocce	ˈbɔttʃe
isolare	i.zoˈlaː.re
pidocchio	pi.ˈdɔk̚.kjo
pidocchioso	pi.ˌdɔk̚.ˈkjo.zo
pagliaccio	paʎˈʎatt͡ʃo
bussola	ˈbussola
diciassette	ditʃasˈsɛtte
lebbra	ˈlebbra
paiolo	pa.ˈjɔ.lo
gigli	ˈdʒiʎʎi
camminata	kam.mi.ˈna.ta
pipistrello	pi.piˈstrɛl.lo
anfibio	anˈfi.bi.o
anch'io	aŋˈkiː.o
amici	a.ˈmi.tʃi
impero	imˈpɛro
diciotto	diˈtʃɔtto
ponti	ˈpon.ti
alcuni	alˈkuni
galassie	ɡaˈlas.sje
particella	par.ti.ˈtʃɛl.la
bagnato	baɲˈɲato
tutta	ˈtutta
cucciolo	ˈkuttʃolo
associazione	asːotʃaˈtsjone
vendita	ˈvendita
ruolo	ˈrwɔ.lo
udienza	uˈdjɛntsa
mezzi	ˈmɛd.dz͡i
mongolfiera	moŋ.gol.'fjɛ.ra
segreteria	seɡreteˈria
vigore	vi.ˈɡo.re
tasso	ˈtasso
fioritura	fjoriˈtura
realizzazione	rea.lid.dzat.ˈtsjo.ne
aliquota	aˈlikwota
pizzico	ˈpittsiko
arcipelago	artʃiˈpɛlaɡo
castagna	ka.ˈstaɲ.ɲa
abbandonò	abbandoˈno
accelera	atˈt͡ʃɛlera
calamita	ka.la.ˈmi.ta
rapi	ˈra.pi
cammino	kam.ˈmi.nɔ
camminò	kam.mi.ˈnɔ
filosofi	fiˈlɔː.zo.fi
guido	ˈɡwi.do
guidò	ɡwi.ˈdo
scusi	ˈskuzi
daniele	da.ˈnjɛ.le
trofeo	tro.ˈfɛ.o
extraeuropeo	ek.stra.eu.ro.ˈpɛ.o
pece	ˈpetʃe
eau	eau
tiroideo	ti.roi.ˈdɛ.o
orrore	or.ˈro.re
tocco	ˈtokko
tocchi	ˈtokki
carriere	karˈrjɛː.re
pipistrelli	pi.piˈstrɛl.li
celiachia	tʃeliaˈkia
agricolo	a.ˈɡri.ko.lo
armonizzare	ar.mo.nidˈdzaː.re
bacino	baˈtʃino
poggio	ˈpɔddʒo
controversia	kon.tro.ˈvɛr.sja
diurne	di.ˈur.ne
banche	ˈbaŋ.ke
rara	ˈraː.ra
rapì	ra.ˈpi
agonia	aɡoˈnia
asilo	aˈzilo
specializzazione	spe.tʃa.lid.dzatˈtsjo.ne
portamento	portaˈmento
affilato	affiˈlato
travaglio	traˈva.ʎːo
addirsi	ad̪.ˈd̪ir.si
frontale	fron.ˈta.le
regalati	re.ɡaˈla.ti
pedone	peˈdone
rumeno	ruˈmɛː.no
schifo	ˈski.fo
nolo	ˈnɔ.lo
amabile	a.ma.bi.le
miscela	miʃˈʃɛla
reticolo	reˈtikolo
suolo	ˈswɔ.lo
indurre	inˈdurre
alfabeti	al.fa.ˈbɛ.ti
anonimità	a.no.ni.miˈta
ventilatore	ven.ti.la.ˈto.re
gnomo	ˈɲomo
pezza	ˈpɛttsa
ununbio	u.num.ˈbi.o
affrettarsi	af.frɛt.ˈtar.si
graffiare	ɡrafˈfjare
